NO    : OWNER      SIZE         NAME
197   : dadi       66951        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/KASYAP/search.txt
198   : dadi       66951        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/search.txt
199   : dadi       216678       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/reference/verboseoutput.txt
200   : dadi       9652         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/reference/output.txt
201   : dadi       66951        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_9/reference/search.txt
202   : dadi       334          /home/dadi/Desktop/Labs_6th sem/OS_Lab/semaphore_producer-consumer.txt
203   : dadi       48           /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_1/foodep.txt
204   : dadi       24576        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_11/output.txt
205   : dadi       789767       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_3/Submission/verbose_output.txt
206   : dadi       22830        /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_3/Submission/output.txt
207   : dadi       7733         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_3/Submission/proc.txt
208   : dadi       5253         /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_3/reference_output.txt
209   : dadi       160118       /home/dadi/Desktop/Labs_6th sem/OS_Lab/Assignment_3/reference_verbose_output.txt
210   : dadi       4            /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/pillow-11.1.0.dist-info/top_level.txt
211   : dadi       53           /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/pygments-2.19.1.dist-info/entry_points.txt
212   : dadi       47755        /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/numpy-2.2.4.dist-info/LICENSE.txt
213   : dadi       172          /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/numpy-2.2.4.dist-info/entry_points.txt
214   : dadi       1093         /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/urllib3-2.3.0.dist-info/licenses/LICENSE.txt
215   : dadi       1475         /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/click-8.1.8.dist-info/LICENSE.txt
216   : dadi       10           /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/aiosignal-1.3.2.dist-info/top_level.txt
217   : dadi       58           /home/dadi/Desktop/Labs_6th sem/OS_Lab/env/lib/python3.12/site-packages/markdown_it_py-3.0.0.dist-info/entry_points.txt
